id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix
the_sonata,The Sonata,64,48,NA,NA,NA,2019-12-24,88,"Horror, Mystery & thriller",English,Andrew Desmond,Andrew Desmond,NA,NA,NA
intimate_strangers_2003,Intimate Strangers,69,86,R,['Sexual Dialogue'],2004-02-06,2004-12-28,103,Drama,French (Canada),Patrice Leconte,Jérôme Tonnerre,$2.1M,Paramount Pictures,"Surround, Dolby SRD"
escape_me_never_1935,Escape Me Never,17,100,NA,NA,NA,NA,92,Drama,English,Paul Czinner,"Robert Cullen,Carl Zuckerman",NA,NA,NA
crouching_tiger_hidden_dragon_sword_of_destiny_2016,"Crouching Tiger, Hidden Dragon: Sword of Destiny",39,20,PG-13,"['Martial Arts Violence', 'Brief Partial Nudity']",NA,2017-05-23,100,"Adventure, Action",English,Woo-Ping Yuen,John Fusco,NA,NA,NA
jurassic_world_dominion,Jurassic World Dominion,77,29,PG-13,"['Language', 'Intense Sequences of Action', 'Some Violence']",2022-06-10,2022-09-02,147,"Action, Adventure, Sci-fi, Mystery & thriller",English,Colin Trevorrow,"Emily Carmichael,Colin Trevorrow",$376.0M,Universal Pictures,"Dolby Digital, Dolby Atmos"
hansel_and_gretel_witch_hunters,Hansel & Gretel: Witch Hunters,53,16,R,"['Fantasy Horror Violence/Gore', 'Brief Sexuality/Nudity', 'Language']",2013-01-25,2013-06-11,88,"Fantasy, Horror, Action, Adventure",English,Tommy Wirkola,Tommy Wirkola,$55.7M,"Paramount Pictures, Metro-Goldwyn-Mayer Distributing Corp.","SDDS, Datasat, Dolby Digital"
strictly_business,Strictly Business,56,10,NA,NA,1991-11-08,2007-09-18,84,Comedy,English,Kevin Hooks,NA,$7.4M,NA,Surround
agronomist,The Agronomist,88,94,NA,NA,2004-04-23,2019-11-21,90,Documentary,English,Jonathan Demme,NA,$226.2K,ThinkFilm,Surround
juno,Juno,88,94,PG-13,"['Mature Thematic Material', 'Language', 'Sexual Content']",2007-12-25,2008-04-15,96,"Comedy, Drama",English,Jason Reitman,Diablo Cody,$143.5M,Fox,"SDDS, Dolby Digital, DTS, Dolby SRD"
zero-bridge,Zero Bridge,44,77,NA,NA,NA,2012-06-12,96,Drama,Urdu,Tariq Tapa,Tariq Tapa,$8.2K,NA,NA
perfect_bid_the_contestant_who_knew_too_much,Perfect Bid: The Contestant Who Knew Too Much,57,100,NA,NA,NA,2018-05-05,72,"Documentary, History, Drama",English,C.J. Wallis,NA,NA,NA,NA
1031763-anastasia,Anastasia,78,93,NA,NA,1956-12-13,2003-07-01,105,Drama,English,Anatole Litvak,"Guy Bolton,Arthur Laurents,Marcelle Maurette",NA,20th Century Fox,"Stereo, Magnetic Stereo 6 Track"
hester_street,Hester Street,67,82,NA,NA,1976-08-24,2005-08-10,90,"Comedy, Drama",English,Joan Micklin Silver,"Joan Micklin Silver,Abraham Cahan",NA,NA,NA
skate_kitchen,Skate Kitchen,76,89,R,"['Language Throughout', 'Drug Use', 'Some Nudity', 'Strong Sexual Content']",2018-08-10,2018-11-20,106,Drama,English,Crystal Moselle,"Crystal Moselle,Aslihan Unaldi,Jen Silverman",$236.1K,Magnolia Pictures,NA
ghost_2020,Ghost,75,100,NA,NA,NA,2020-07-26,88,Drama,English (United Kingdom),Anthony Z. James,Anthony Z. James,NA,NA,NA
cielo_2017,Cielo,82,80,NA,NA,NA,2019-10-21,78,Documentary,English,Alison McAlpine,Alison McAlpine,NA,NA,NA
love_and_honor_2013,Love and Honor,40,13,PG-13,"['Drug Content', 'Brief Violence', 'Language', 'Sexuality']",2013-03-22,2013-07-23,96,Drama,English,Danny Mooney,"Jim Burnstein,Garrett K. Schiff",$9.6K,IFC Films,NA
military_intelligence_and_you,Military Intelligence and You!,33,45,NA,NA,NA,2008-05-06,78,Comedy,English,Dale Kutzera,Dale Kutzera,$8.0K,NA,NA
the_duff,The DUFF,66,73,PG-13,"['Some Language', 'Crude and Sexual Material', 'Teen Partying']",2015-02-20,2015-06-09,96,"Romance, Comedy",English,Ari Sandel,Josh A. Cagan,$34.0M,CBS Films,NA
people_of_a_feather_2011,People of a Feather,85,86,NA,NA,NA,2014-02-25,90,Documentary,English,Joel Heath,"Joel Heath,Johnny Kudluarok",$5.7K,NA,NA
dr_dolittle,Dr. Dolittle,35,41,NA,NA,1998-06-26,2001-10-23,85,Comedy,English,Betty Thomas,"Nat Mauldin,Larry Levin",$144.2M,20th Century Fox,Surround
audrie_and_daisy,Audrie & Daisy,73,81,NA,NA,NA,2016-12-07,90,Documentary,English,"Bonni Cohen,Jon Shenk",NA,NA,NA,NA
tightrope,Tightrope,50,85,NA,NA,NA,2010-06-01,114,"Mystery & thriller, Crime, Drama",English,Richard Tuggle,NA,NA,NA,NA
1014832-never_on_sunday,Never on Sunday,83,67,NA,NA,1960-10-01,2016-09-01,91,Comedy,English,Jules Dassin,NA,NA,"Lopert Pictures Corp., MGM Home Entertainment",NA
mother_and_child,Mother and Child,76,78,R,"['Language', 'Brief Nudity', 'Sexuality']",2010-05-07,2010-12-14,126,Drama,English,Rodrigo Garcia,Rodrigo Garcia,$1.1M,Sony Pictures Classics,NA
the_bears_famous_invasion_of_sicily,The Bears' Famous Invasion of Sicily,73,100,NA,NA,NA,NA,82,"Comedy, Animation",French (France),Lorenzo Mattotti,"Thomas Bidegain,Jean-Luc Fromental,Lorenzo Mattotti",NA,NA,NA
promoter,Promoter,50,50,NA,NA,NA,NA,NA,NA,NA,Ronald Neame,NA,NA,NA,NA
love_sarah,Love Sarah,61,61,NA,NA,NA,2021-01-15,97,"Romance, Comedy",English,Eliza Schroeder,Jake Brunger,NA,NA,NA
left_behind_2014,Left Behind,22,0,PG-13,"['Some Thematic Elements', 'Brief Drug Content', 'Violence/Peril']",2014-10-03,2015-01-06,111,"Action, Mystery & thriller, Sci-fi",English,Vic Armstrong,"Paul Lalonde,John Patus",$14.0M,Freestyle Releasing,NA
caesar_must_die_2012,Caesar Must Die,74,92,NA,NA,NA,2013-12-24,76,Drama,Italian,"Paolo Taviani,Vittorio Taviani","Paolo Taviani,Vittorio Taviani",NA,NA,NA
10006270,When Do We Eat?,69,42,R,"['Some Sexual Content', 'Language', 'Drug Use']",2005-04-14,2006-08-22,87,Comedy,English,Salvador Litvak,"Salvador Litvak,Nina Davidovich",$428.4K,NA,NA
e_team_2014,E-Team,75,82,NA,NA,NA,2016-12-05,88,Documentary,English,"Katy Chevigny,Ross Kauffman","Katy Chevigny,Ross Kauffman",NA,NA,NA
bat_21,Bat 21,58,82,NA,NA,1988-10-21,2007-04-24,105,Action,English,Peter Markle,NA,$3.2M,"MGM/UA Home Entertainment Inc., TriStar Pictures","Surround, Stereo"
three_strange_loves,Thirst,52,100,NA,NA,NA,2018-11-20,78,Drama,Swedish,Ingmar Bergman,Herbert Grevenius,NA,NA,NA
the_moth_diaries,The Moth Diaries,23,13,R,"['Language', 'Drug Use', 'Sexuality', 'Some Bloody Images']",2012-04-20,2012-08-28,83,Horror,English,Mary Harron,Mary Harron,$3.8K,IFC Films,NA
goodbye_christopher_robin,Goodbye Christopher Robin,71,64,PG,"['Some Bullying', 'Brief Language', 'Thematic Elements', 'War Images']",2017-10-13,2018-01-23,107,"Biography, History, Drama",English,Simon Curtis,"Frank Cottrell Boyce,Simon Vaughan",$1.7M,Fox Searchlight,NA
beneath_the_darkness,Beneath the Darkness,15,0,R,"['Some Violence', 'Language']",2012-01-06,2012-02-28,97,Mystery & thriller,English,Martin Guigui,Bruce Wilkinson,$9.6K,Image Entertainment,NA
entre_nos,Between Us,84,89,NA,NA,NA,2010-07-20,80,Drama,Spanish,"Gloria La Morte,Paola Mendoza","Gloria La Morte,Paola Mendoza",NA,NA,NA
lamb_2021,Lamb,61,86,R,"['Some Bloody Violent Images', 'Sexuality/Nudity']",2021-10-08,2021-10-28,106,"Horror, Fantasy, Mystery & thriller",Icelandic,Valdimar Jóhannsson,"Valdimar Jóhannsson,Sjón",$2.0M,A24,NA
peaceful_warrior,Peaceful Warrior,76,25,PG-13,"['Sensuality', 'Accident Scenes', 'Sex References']",2006-06-02,2006-12-19,121,Drama,English,Victor Salva,Kevin Bernhardt,$1.1M,Lionsgate Films,Dolby Digital
robot_chicken_star_wars,Robot Chicken: Star Wars,85,100,NA,NA,NA,2008-07-22,30,"Comedy, Sci-fi, Animation",English,Seth Green,"Jordan Allen-Dutton,Mike Fasolo,Douglas Goldstein,Seth Green",NA,NA,NA
boys-girls-guide-to-getting-down,The Boys and Girls Guide to Getting Down,73,100,R,"['Strong Sexuality', 'Language', 'Pervasive Drug Content', 'Nudity']",NA,2007-09-11,92,Comedy,English,Paul Sapiano,Paul Sapiano,NA,NA,NA
1018009-running_scared,Running Scared,58,59,NA,NA,NA,2001-10-02,106,"Action, Comedy",English,Peter Hyams,"Gary DeVore,Jimmy Huston",$37.6M,NA,Surround
downhill_2020,Downhill,14,36,R,"['Some Sexual Material', 'Language']",2020-02-14,2020-03-27,85,"Comedy, Drama",English,"Nat Faxon,Jim Rash","Jesse Armstrong,Nat Faxon,Jim Rash",$8.3M,Searchlight Pictures,NA
african_cats,African Cats,77,73,NA,NA,2011-04-22,2011-10-04,90,Documentary,English,"Keith Scholey,Alastair Fothergill","John Truby,Keith Scholey",$15.4M,Disneynature,NA
hills_have_eyes_2,The Hills Have Eyes 2,40,12,R,"['Language', 'Gore', 'Rape', 'Strong Gruesome Violence']",2007-03-23,2007-07-17,89,Horror,English,Martin Weisz,"Wes Craven,Jonathan Craven",$20.8M,Fox,"SDDS, DTS, Dolby SRD"
amanda_knox,Amanda Knox,71,83,NA,NA,NA,2017-05-23,92,"Documentary, Crime, Drama",English,"Brian McGinn,Rod Blackhurst","Brian McGinn,Rod Blackhurst",NA,NA,NA
vive_lamour_1994,Vive L'Amour,83,86,NA,NA,1994-09-14,2017-01-15,118,Drama,Chinese,Ming-liang Tsai,"Ming-liang Tsai,Yi-Chun Tsai,Pi-ying Yang",$7.2K,Strand Releasing,Stereo
sharpays_fabulous_adventure,Sharpay's Fabulous Adventure,43,60,NA,NA,NA,2011-04-19,89,"Kids & family, Comedy, Drama, Musical, Romance",English,Michael Lembeck,Robert Horn,NA,NA,NA
st_vincent,St. Vincent,78,78,PG-13,"['Language', 'Alcohol and Tobacco Use', 'Mature Thematic Material', 'Sexual Content']",2014-10-24,2015-02-17,103,"Comedy, Drama",English,Theodore Melfi,Theodore Melfi,$44.1M,Weinstein Co.,NA
go_goa_gone,Go Goa Gone,50,71,NA,NA,NA,2016-11-30,112,"Comedy, Horror",Hindi,"Raj Nidimoru,Krishna D.K.","Krishna D.K.,Sita Menon,Raj Nidimoru",$295.4K,NA,NA
tiger_24,Tiger 24,95,100,NA,NA,2022-06-10,2022-12-06,90,Documentary,English,Warren Pereira,Warren Pereira,NA,Elevation Pictures,NA
braid_2019,Braid,58,88,R,"['Some Sexuality', 'Disturbing/Violent Content', 'Language', 'Drug Use']",2019-02-01,2019-02-01,82,"Mystery & thriller, Horror",English,Mitzi Peirone,Mitzi Peirone,NA,Blue Fox Entertainment,NA
husband_material,Husband Material,71,77,NA,NA,2018-09-14,NA,150,"Romance, Comedy, Drama",Hindi,Anurag Kashyap,Kanika Dhillon,$506.5K,Eros International,NA
black_adam,Black Adam,88,39,PG-13,"['Sequences of Strong Violence', 'Intense Action', 'Some Language']",2022-10-21,2022-11-22,125,"Action, Adventure, Fantasy",English,Jaume Collet-Serra,"Adam Sztykiel,Rory Haines,Sohrab Noshirvani",$168.1M,Warner Bros. Pictures,"Dolby Digital, Dolby Atmos"
rolling_to_you,Tout Le Monde Debout,59,29,NA,NA,NA,NA,NA,NA,NA,Unknown Director,NA,NA,NA,NA
man_called_horse,A Man Called Horse,61,86,R,"['Violence', 'Nudity']",NA,2003-04-29,114,Western,English,Elliot Silverstein,Jack DeWitt,NA,NA,NA
son_of_the_south,Son of the South,77,61,PG-13,"['Violence Throughout', 'Thematic Elements', 'Strong Racial Slurs']",2021-02-05,2021-02-05,105,"Drama, Biography",English,Barry Alexander Brown,Barry Alexander Brown,NA,Vertical Entertainment,NA
